Table,Code,Description
BLDG,XR0,RELIGIOUS
BLDG,XR5,RELIGIOUS EDUCATION
BLDG,XRI,RELIGIOUS PRE-SCHOOL
BLDG,XRM,RELIGIOUS HOME
BLDG,XRO,RELIGIOUS
BLDG,XRR,CEMETERY
BLDG,XS0,SCHOOL
BLDG,XS7,SCHOOL VOCATIONAL
BLDG,XSB,SCHOOL CLASSROOM
BLDG,XSE,ELEMENTARY SCHOOL
BLDG,XSP,SCHOOL PUBLIC
BLDG,XSQ,SCHOOL PRIVATE
BLDG,XSW,SCHOOL SECONDARY
BLDG,XT0,CLINIC
BLDG,XTG,CLINIC ANIMAL
BLDG,XTJ,CLINIC MEDICAL
BLDG,XTK,CLINIC DENTAL
BLDG,XTL,CLINIC MEDICAL DENTAL
BLDG,XTV,VETERINARY CLINIC
BLDG,XV0,HEALTH
BLDG,XVP,HEALTH PUBLIC
BLDG,XW0,WORSHIP
BLDG,XX0,DISPENSARY
BLDG,XXJ,DISPENSARY MEDICAL
BLDG,XY0,YMCA/YWCA
BLDG,XZ0,TELEPHONE
BLDG,Y00,MIXED USE
BLDG,Y1L,STABLE & LIVING QUARTERS
BLDG,Y1O,STABLE & OFFICE
BLDG,Y1S,STABLE/SHOP
BLDG,Y99,SERVICE STATION & FAST FOOD
BLDG,YBA,BEAUTY SHOP & APARTMENT
BLDG,YCR,COMMERCIAL & RESIDENTIAL
BLDG,YDA,CONDO & SINGLE FAMILY RESIDENC
BLDG,YFA,CAF
BLDG,YGR,COMMERCIAL & RESIDENTIAL
BLDG,YMI,MISCELLANEOUS INDUSTRIAL
BLDG,YOL,OFFICE & LIVING QUARTERS
BLDG,YOR,OFFICE & RESIDENTIAL
BLDG,YOS,OFFICE/SHOP
BLDG,YQ0,RESIDENTIAL & OFFICE
BLDG,YQ1,RESIDENTIAL & STORAGE
BLDG,YQB,RESIDENTIAL & BARN
BLDG,YQJ,RESIDENTIAL & STORAGE
BLDG,YQO,RESIDENTIAL & OFFICE
BLDG,YQR,APARTMENTS & RESIDENTIAL
BLDG,YQS,RESIDENTIAL & SHOP
BLDG,YR0,RETAIL & OFFICE
BLDG,YRA,RETAIL & APARTMENT
BLDG,YRO,RETAIL & OFFICE
BLDG,YRW,RETAIL & WAREHOUSE
BLDG,YS0,STORE & OFFICE
BLDG,YSA,APARTMENT/STORE
BLDG,YSO,STORE & OFFICE
BLDG,YSR,STORE & RESIDENTIAL
BLDG,YSW,WAREHOUSE STORE
BLDG,YTA,TAVERN & APARTMENTS
BLDG,YWR,WAREHOUSE & RESIDENTIAL
TRNTP,TRANSACTION TYPE,transaction_type
TRNTP,1,RESALE
TRNTP,2,STANDALONE MORTGAGE/REFINANCE
TRNTP,3,SUBDIVISION/NEW CONSTRUCTION
TRNTP,4,TIMESHARE
TRNTP,6,CONSTRUCTION LOAN
TRNTP,7,SELLER CARRYBACK
TRNTP,9,NOMINAL
TRNTP,D,RELEASE OF DEED
TRNTP,J,MECHANIC LIEN / RELEASE
TRNTP,S,ASSIGNMENT OF DEED OF TRUST
